CUSTOMER,STATE,GENDER,EDUCATION,INCOME,MONTHLY_PREMIUM_AUTO,POLICY_TYPE,VEHICLE_CLASS,TOTAL_CLAIM_AMOUNT
GS98873,Arizona,F,Bachelor,16061,$88.00,Personal Auto,Four-Door Car,$633.60
CW49887,California,F,Master,79487,$114.00,Special Auto,SUV,$547.20
MY31220,California,F,College,54230,$112.00,Personal Auto,Two-Door Car,$537.60
UH35128,Oregon,F,College,71210,$214.00,Personal Auto,Luxury Car,"$1,027.20"
WH52799,Arizona,F,College,94903,$94.00,Corporate Auto,Two-Door Car,$451.20
WL99637,Arizona,M,Bachelor,27293,$96.00,Personal Auto,Two-Door Car,$469.03
UC84059,California,F,Master,70950,$171.00,Personal Auto,Sports Car,$565.93
HW62747,Oregon,M,College,0,$63.00,Corporate Auto,Four-Door Car,$302.40
BH11344,Oregon,F,Doctor,37009,$71.00,Corporate Auto,Two-Door Car,$145.67
TX28465,Nevada,M,College,52629,$65.00,Personal Auto,Four-Door Car,$136.68
OK56965,California,F,Bachelor,31264,$198.00,Personal Auto,Luxury SUV,$825.66
WT22392,Oregon,F,College,65473,$67.00,Personal Auto,Four-Door Car,$277.69
PH85036,Washington,F,Bachelor,79325,$68.00,Corporate Auto,Four-Door Car,$251.29
KC71643,Oregon,M,High School or Below,99144,$61.00,Corporate Auto,Four-Door Car,$292.80
NR32615,California,M,College,22520,$73.00,Corporate Auto,Four-Door Car,$350.40
GS69842,Arizona,F,Bachelor,36615,$65.00,Special Auto,Four-Door Car,$264.56
WT71621,Washington,F,Bachelor,63297,$82.00,Personal Auto,Four-Door Car,$251.76
KD23847,Arizona,F,High School or Below,76374,$61.00,Personal Auto,Four-Door Car,$292.80
PE59368,Washington,F,Bachelor,72096,"$6,464.00",Personal Auto,Two-Door Car,$252.33
NK91488,Nevada,M,Master,56005,$68.00,Personal Auto,Four-Door Car,$326.40
CR33417,Washington,F,Master,36529,$118.00,Personal Auto,SUV,$255.01
WP73172,Oregon,F,Bachelor,81367,$103.00,Special Auto,SUV,$415.77
PS30217,California,F,Bachelor,44817,$83.00,Personal Auto,Four-Door Car,$527.42
EL62967,Oregon,F,High School or Below,58508,$69.00,Personal Auto,Two-Door Car,$57.61
MU23938,Oregon,M,Bachelor,45259,$138.00,Personal Auto,SUV,$272.22
